mean_variance	median_variance	nun5	nun20	nun50
"AGAP000448"	8.41574301651971	7.57086524818253	38	90	158
"AGAP000449"	10.6262636598714	8.89734987884874	9	24	61
"AGAP000452"	9.93437027186853	8.86168052940315	35	77	137
"AGAP000453"	10.7654553098755	8.97436521329649	11	30	62
"AGAP000454"	9.5638687316339	8.57935423799643	27	61	110
"AGAP000456"	1.12876226593033	0.708837839172617	106	287	483
"AGAP000457"	7.81197507589687	7.32580636070556	68	153	263
"AGAP000458"	9.28726803575696	8.50637320640099	33	77	134
"AGAP000459"	0.937266941429866	0.52653655054722	71	134	182
"AGAP000460"	6.76472562473581	7.10109947216942	116	348	667
"AGAP000461"	10.3614112119347	8.82349838786544	17	36	66
"AGAP000462"	0.975287599002128	0.558885897532043	53	145	252
"AGAP000463"	10.1475791963248	8.80142578068049	11	38	91
"AGAP000466"	7.32609852746624	7.20219513172702	118	330	650
"AGAP000467"	9.96797755838183	8.76833017946277	20	51	89
"AGAP000468"	10.0657594778732	8.68862707017512	16	33	78
"AGAP000469"	3.79507420152744	3.43734803888345	131	418	855
"AGAP000470"	1.93140471460105	1.6202507403182	125	368	672
"AGAP000472"	9.86843073364568	8.74252712217003	31	54	100
"AGAP000473"	7.13352153226724	6.54922594574001	112	286	498
"AGAP000474"	9.91496939625041	8.74014765641852	31	69	118
"AGAP000475"	8.94192479894428	8.30190644917225	43	109	170
"AGAP000476"	9.65744787812394	8.78259867147588	37	86	150
"AGAP000477"	8.95861481874253	8.21883236251868	57	120	214
"AGAP000478"	7.46884019663633	6.84659370736976	52	145	278
"AGAP000479"	7.58206244028779	6.54302583926314	58	149	308
"AGAP000480"	6.14546615406002	5.90215165054727	136	407	771
"AGAP000481"	8.51533841934048	7.66027419644736	39	95	163
"AGAP000482"	6.00287324157315	5.92380044138292	119	305	548
"AGAP000483"	8.94413531681176	7.94234492534386	43	94	164
"AGAP000484"	8.84581691166434	8.07679500425607	46	89	168
"AGAP000485"	5.54201746341065	5.01857029984413	122	431	936
"AGAP000488"	7.80768001364995	7.14509024921652	48	134	247
"AGAP000489"	9.27067093193629	8.24644053870282	29	71	129
"AGAP000491"	2.11358078470056	1.75825779778717	123	396	745
"AGAP000492"	6.77936044173339	6.21629842967857	107	319	565
"AGAP000493"	0.941828418065138	0.526488075023522	77	179	274
"AGAP000494"	4.4386996272594	4.03246159627491	76	188	318
"AGAP000495"	7.08807367121037	7.33980493394674	136	476	1003
"AGAP000496"	5.66454112948213	5.43588458585698	71	159	247
"AGAP000497"	6.04931944560134	5.42146552314938	118	315	504
"AGAP000498"	2.40878647576512	2.17929247734857	110	291	494
"AGAP000499"	7.80073478917028	7.37861412719261	53	135	213
"AGAP000500"	5.12088468879114	4.76536030464412	125	386	728
"AGAP000502"	8.74412752709308	8.04662854220922	70	160	281
"AGAP000504"	10.1713326877879	8.87457829416506	20	50	86
"AGAP000506"	9.08455964724994	8.43085178033417	51	94	159
"AGAP000507"	8.50922596566232	8.44206626385954	87	192	369
"AGAP000508"	4.64465638868258	4.2312774750329	88	238	456
"AGAP000509"	8.33966252114428	8.30070888182229	101	312	652
"AGAP000512"	7.22991681465757	7.13939979512514	119	369	657
"AGAP000513"	1.61227545529334	1.2671984975151	128	352	634
